Image Size,Split Size,HOG Params,Normalization Method,SVM Params,Train HOG Time,Validation HOG Time,Test HOG Time,Train Time,Test Time,HOG Accuracy,Test Accuracy
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'linear', 'C': 1}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.0020034313201904297,0.0,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'linear', 'C': 10}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.005208492279052734,0.0009968280792236328,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.0029921531677246094,0.002077341079711914,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.0029914379119873047,0.0019953250885009766,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'linear', 'C': 1}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.0029697418212890625,0.0009963512420654297,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'linear', 'C': 10}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.003190755844116211,0.0009970664978027344,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.002249002456665039,0.000990152359008789,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.0039861202239990234,0.0,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 1}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.002992391586303711,0.0,0.5,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 10}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.003915071487426758,0.0009999275207519531,0.5,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.0029573440551757812,0.0014157295227050781,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.427945613861084,0.15165042877197266,0.11161565780639648,0.0019919872283935547,0.0009968280792236328,0.0,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'linear', 'C': 1}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0029916763305664062,0.0009965896606445312,1.0,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'linear', 'C': 10}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.002991199493408203,0.0009975433349609375,1.0,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0029914379119873047,0.0009968280792236328,0.0,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.002991199493408203,0.0010175704956054688,0.0,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'linear', 'C': 1}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0029921531677246094,0.0009968280792236328,0.5,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'linear', 'C': 10}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.002992391586303711,0.0009982585906982422,0.5,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0009911060333251953,0.0009982585906982422,0.0,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.002992868423461914,0.001004934310913086,0.0,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 1}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0020220279693603516,0.0009708404541015625,0.5,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 10}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0019850730895996094,0.000997304916381836,0.5,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0009975433349609375,0.0009965896606445312,0.0,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.001997232437133789,0.0020034313201904297,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'linear', 'C': 1}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0009975433349609375,0.0010094642639160156,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'linear', 'C': 10}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0019910335540771484,0.0,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.001995563507080078,0.0,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0009982585906982422,0.0013413429260253906,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'linear', 'C': 1}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0029959678649902344,0.0009942054748535156,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'linear', 'C': 10}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0009958744049072266,0.0009984970092773438,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0009951591491699219,0.000997304916381836,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0009951591491699219,0.000997781753540039,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",robust,"{'kernel': 'linear', 'C': 1}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.001996278762817383,0.0009970664978027344,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",robust,"{'kernel': 'linear', 'C': 10}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.002028226852416992,0.001001596450805664,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0019960403442382812,0.0,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0019919872283935547,0.0,0.0,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'linear', 'C': 1}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.001987934112548828,0.0,0.6666666666666666,0.6666666666666666
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'linear', 'C': 10}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.0016417503356933594,0.0,0.6666666666666666,0.6666666666666666
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.0030243396759033203,0.0009922981262207031,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.002044200897216797,0.000986337661743164,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'linear', 'C': 1}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.0010204315185546875,0.0009584426879882812,0.6666666666666666,0.6666666666666666
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'linear', 'C': 10}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.0030393600463867188,0.000989675521850586,0.6666666666666666,0.6666666666666666
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.0019936561584472656,0.0,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.002029895782470703,0.0,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 1}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.0010404586791992188,0.0009968280792236328,0.3333333333333333,0.3333333333333333
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 10}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.0009996891021728516,0.0009980201721191406,0.3333333333333333,0.3333333333333333
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.0009980201721191406,0.000997781753540039,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.27288246154785156,0.10464167594909668,0.10409736633300781,0.0029916763305664062,0.001055002212524414,0.3333333333333333,0.0
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'linear', 'C': 1}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.0019936561584472656,0.0009975433349609375,0.3333333333333333,0.6666666666666666
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'linear', 'C': 10}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.001994609832763672,0.0011506080627441406,0.3333333333333333,0.6666666666666666
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.0019941329956054688,0.0,0.3333333333333333,0.0
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.0029735565185546875,0.0,0.3333333333333333,0.0
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'linear', 'C': 1}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.002880573272705078,0.0010464191436767578,0.3333333333333333,0.6666666666666666
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'linear', 'C': 10}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.001990079879760742,0.0009968280792236328,0.3333333333333333,0.6666666666666666
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.0009970664978027344,0.0009970664978027344,0.3333333333333333,0.0
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.0009992122650146484,0.0009963512420654297,0.3333333333333333,0.0
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 1}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.0015571117401123047,0.0009922981262207031,0.3333333333333333,0.3333333333333333
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 10}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.0009980201721191406,0.001032114028930664,0.3333333333333333,0.3333333333333333
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.0019943714141845703,0.0,0.3333333333333333,0.0
128,0.4,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.0684356689453125,0.02789306640625,0.03143763542175293,0.001993894577026367,0.0009205341339111328,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'linear', 'C': 1}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.0010037422180175781,0.0009562969207763672,0.3333333333333333,0.6666666666666666
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'linear', 'C': 10}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.000997304916381836,0.0,0.3333333333333333,0.6666666666666666
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.0029935836791992188,0.0,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.001983165740966797,0.0009982585906982422,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'linear', 'C': 1}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.0009984970092773438,0.0009961128234863281,0.6666666666666666,0.6666666666666666
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'linear', 'C': 10}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.0020008087158203125,0.000989675521850586,0.6666666666666666,0.6666666666666666
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.002031087875366211,0.0,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.0010399818420410156,0.0009915828704833984,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",robust,"{'kernel': 'linear', 'C': 1}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.0019941329956054688,0.0009970664978027344,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",robust,"{'kernel': 'linear', 'C': 10}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.0019943714141845703,0.0,0.3333333333333333,0.0
128,0.4,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.09569859504699707,0.033896446228027344,0.037749290466308594,0.0027289390563964844,1.0728836059570312e-05,0.3333333333333333,0.0
